nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
32,unweighted,80,19,41,35,66,19,46,56,66
32,unweighted,90,19,33,46,56,22,34,66,66
32,unweighted,100,18,27,39,60,26,43,52,66
32,queue,1,9,8,14,14,29,28,11,34
32,queue,2,12,11,12,13,27,34,15,34
32,queue,3,12,9,14,20,30,34,22,34
32,queue,4,11,9,15,26,19,34,20,34
32,queue,5,13,13,13,28,16,30,33,34
32,queue,6,12,9,11,34,24,24,32,34
32,queue,7,12,12,7,34,21,31,32,34
32,queue,8,10,9,11,26,26,32,34,34
32,queue,9,9,7,7,28,14,25,34,34
32,queue,10,13,10,9,28,28,19,34,34
32,queue,20,9,9,7,22,9,23,27,57
32,queue,30,21,11,7,21,11,20,25,65
32,queue,40,13,9,15,21,9,28,28,34
32,queue,50,12,11,7,16,6,11,34,66
32,queue,60,8,14,7,21,5,8,34,65
32,queue,70,7,27,11,29,5,11,32,34
32,queue,80,6,15,7,20,10,8,17,61
32,queue,90,7,18,10,17,7,11,23,34
32,queue,100,8,10,7,16,7,10,22,34
32,ps,1,10,9,17,19,34,40,22,34
32,ps,2,29,17,19,34,34,34,34,34
32,ps,3,24,19,20,34,34,59,37,34
32,ps,4,27,22,19,28,42,47,34,34
32,ps,5,29,24,21,34,32,34,34,62
32,ps,6,34,31,19,34,34,34,34,34
32,ps,7,28,27,19,34,34,34,34,34
32,ps,8,29,26,18,34,34,34,46,66
32,ps,9,34,23,22,34,33,34,34,66
32,ps,10,28,26,14,32,31,34,34,34
32,ps,20,31,21,15,34,34,34,34,66
32,ps,30,22,27,23,34,18,34,34,66
32,ps,40,30,32,30,66,19,34,34,34
32,ps,50,14,24,29,34,21,34,61,34
32,ps,60,20,19,34,34,24,34,34,66
32,ps,70,17,30,26,57,34,34,57,66
32,ps,80,17,21,33,34,17,34,58,66
32,ps,90,17,23,34,34,26,33,34,34
32,ps,100,16,30,33,34,22,34,34,66
